Article Number,Type,Summary
287,Baseline Summary,cholinesterase inhibitors developed based cholinergic hypothesis alzheimer disease condition degeneration cholinergic neurons brain leads reduction levels acetylcholine cholinergic function resulting cognitive deficits thirteen cholinesterase inhibitors reduce degradation synaptic acetylcholine improve brain acetylcholine levels dose dependent manner thereby enhance cholinergic transmission patients alzheimer dementias four five donepezil galantamine cholinesterase inhibitors acetylcholinesterase inhibiting activity whereas rivastigmine inhibits ache butyrylcholinesterase six evidence suggests cholinesterase inhibitors memantine provide symptomatic pharmacological treatment improving cognition global function patients dementia seven eight currently cholinesterase inhibitors approved us food drug administration treatment mild moderate ad include donepezil nine rivastigmine ten eleven galantamine twelve us fda also approved memantine methyl aspartate receptor antagonist treatment moderat
287,GPT-2 Summary,"
1) Alzheimer's drug development

2) Acute effects

3) Cognitive functions"
287,Separator,--------------------------------------------------------------------------------
288,Ground Truth,clinical immunotherapy trials like dendritic cell based vaccinations are hampered by the tumor offensive repertoire that suppresses the incoming effector cells regulatory cells are instrumental in suppressing the function of cytotoxic cells we studied the effect of low dose cyclophosphamide on the suppressive function of regulatory cells and investigated if the success rate of dendritic cell immunotherapy could be improved for this mesothelioma tumor bearing mice were treated with dendritic cell based immunotherapy alone or in combination with low dose of cyclophosphamide proportions of regulatory cells and the cytotoxic cell functions at different stages of disease were analyzed we found that low dose cyclophosphamide induced beneficial immunomodulatory effects by preventing the induction of tregs and as consequence cytotoxic cell function was no longer affected addition of cyclophosphamide improved immunotherapy leading to an increased median and overall survival future studies are needed to address the usefulness of this combination treatment for mesothelioma patients
288,Baseline Summary,malignant mesothelioma cancer arising mesothelial cells lines body serous cavities internal organs characterized poor prognosis dendritic cells highly mobile antigen presenting cells capable instructing controlling activation nk cells nkt cells lymphocytes twenty four previously showed dc based immunotherapy murine mm model leads protective immunity well regression established tumors although dc vaccines well tolerated patients optimization necessary exploit full potential therapeutic strategy tumors secrete several mediators recruit activate suppressive cells regulatory cells cells instrumental allowing growing cancer evade immunological attack impairing cell function elevated levels tregs reported many tumors presence predicts poor survival also described tregs increased peripheral blood pleural effusions patients recent clinical studies shown low dose cyclophosphamide induces beneficial immunomodulatory effects context active adoptive immunotherapy one thousand one hundred twenty on
288,GPT-2 Summary,"(1) TL-DR. TL (Tissue-Specific Lateral Lipase) is a very unique immune system that has been shown to protect from many different cancers (see my TL article [here] ) and be able to induce Tl lymphocytes to proliferate (which is a hallmark of cancer)
(2) TL is a well characterized component of the immune system and is extremely vulnerable to tumors.
3) T-tumors are difficult to find in humans as they are a poorly tolerated immune system of low immunogenicity.
4) TL is unique in the tumor community.
TL can be manipulated into immune suppressor agents, such as CXCR4 (human lytic virus CR), DSB2 (CD19+ cytotoxic protein) and LPC (Macrophage/Lymphocyte type clonal protein) or it can be manipulated into tumor-suppressor agent (Tumor suppressor, MST).
TL Activates Dendritic Cells and Monocytes, but Not Tumor Proliferation
TL inhibits monocyte proliferation.
In addition to being known for promoting immunocompetence to human T-cell lines and cancer, TL may additionally be critical for tumor growth.
This review will explain how TL may be important for proliferation and whether or not TL enhances and depletes monocyte proliferation.
TL promotes differentiation.
TL supports an accumulation of monocytes in the tumor environment and can increase differentiation.
TL inhibits cell differentiation, and inhibits tumor cell survival or function.
TL is essential for tumor growth and survival of tumor cells.
Many tumors produce soluble forms of tumor suppressor molecules that can inhibit TL or activate a T-cell signal.
To help tumorigenesis"
288,Separator,--------------------------------------------------------------------------------
289,Ground Truth,dengue potentially fatal disease is spreading around the world an estimated two five billion people in tropical and subtropical regions are at risk early detection of outbreaks is crucial to prevention and control of dengue virus and other viruses case reporting may often take weeks or months therefore researchers explored whether electronic sources of real time information might be faster and they were although information from unofficial sources should be interpreted with caution when used in conjunction with traditional case reporting real time electronic surveillance can help public health authorities allocate resources in time to avert full blown epidemics
289,Baseline Summary,focused geographic range denvs latin america caribbean dengue widespread expanding range attempted identify areas contiguous previously known dengue endemic zones new denv transmission occurring using reports recent outbreaks known dengue endemic areas defined dengue risk areas identified us centers disease control prevention health information international travel two thousand ten two thousand twelve editions edition book reflects known distribution dengue risk prior two years characterize spread according yellow book identified areas classified known dengue risk two thousand ten changed risk areas two thousand twelve edition outbreak data december one march eighteen two thousand eleven collected healthmap open access online infectious disease outbreak monitoring system healthmap integrates outbreak related data thirty zero electronic sources including news media promed mail electronic public health reporting sources using algorithms classify diseases locations associated report wante
289,GPT-2 Summary,"We are currently working on two major new projects.
One focuses on our research of dengue outbreaks: our ongoing effort to identify outbreaks with unique disease profiles.
Our team has worked on identifying new areas that pose a unique threat for human health within the area of transmission within the USA over the past several years.
This investigation has produced results as well as interesting new sources of information.
We identified two geographic regions within the American Southwest that have yet to be reported in the public sector, while at the same time, we've identified at least two new known endemic areas of dengue.
These new findings are part of a larger effort to characterize, as well as to collect, data related to new outbreaks occurring near the region of human exposure.
In developing this investigation, we used several of those sources when developing our reporting.
We've collected information on outbreaks from different reports including public reports, community reports, health surveillance data, school information, university information, media reports, case definition information, and more.
Over the past couple of years, and prior to publication of our articles, we have worked directly with two government agencies to develop methods for gathering and reporting this data.
We've identified four regions within this United States where dengue may be endemic to a few individuals in the area of study.
We continue to refine ways to identify, monitor, and prioritize areas of potential threat in our reporting, as well as new potential areas to investigate.
While we will continue working on this project, if we find that new areas of interest or areas that are significant based on prior studies we may expand the approach.
TL;DR - new dengue risk areas are identified from previous studies, and then identified through a comprehensive evaluation of existing outbreak data."
289,Separator,--------------------------------------------------------------------------------
290,Ground Truth,olmsted syndrome is very rare and severe cicatrizing keratoderma associated with periorificial lesion most cases are sporadic but familial occurrence has been also seen till now around seventy three cases have been reported and none of the reported cases have four siblings affected from this disease we are reporting cases of four siblings of age thirty year female twenty six year female twenty year male and ten year male who were born to third degree consangueinous marriage and presented with palmoplantar keratoderma periorificial hyperkeratosis flexion deformity pseudoainhum and contracture of digits there was no cardiac involvement hence the diagnosis of olmsted syndrome was made and all four patients were non responsive to treatment which included topical corticosteroid topical salicylic acid systemic isotretinoin systemic acitretin and oral zinc in child
290,Baseline Summary,original description olmsted one thousand nine hundred twenty seven december two thousand fourteen seventy three cases reported classical olmsted syndrome consists bilateral mutilating palmoplantar keratoderma periorificial keratotic plaques high clinical variability inconsistent clinical features also reported family eight siblings two sisters two brothers aged thirty twenty two twenty ten years born second degree consanguineous marriage presented complaint thickening scaling palms soles months birth figure one four siblings born normal vaginal delivery completely normal birth first tiny vesicles developed tip fingers twelve months extrauterine life vesicles ruptured short time peeling skin occurred followed scaling thickening similar lesions developed hands feet within one year life gradually similar lesions progressed cover whole palms dorsum hands elbows soles dorsum feet perianal perioral areas examination diffuse bilateral symmetrical thickened yellowish waxy hyperkeratotic plaqu
290,GPT-2 Summary,"Fungal infections in humans can be diagnosed in nine to twenty five cases by palpation of the palm of the hands and toes (palmoplantar disc) while still a patient is ill.
This is often the initial point of contact.
A case of a thirteen year old girl with two siblings was admitted to a local hospital on 12/14/17 suffering from generalized malnourishment.
The mother indicated that her young niece had one child which has been named ""Bunny"", although apparently it had no sibling.
The three first degree family had been married, she said; her husband was in a full nursing program, and the child was currently living at home.
The woman was able to provide a brief description of the child's face (no palm) and mannerisms, including the appearance of eyelids and nose.
She explained that his right hand exhibited very pronounced keratoconjunctival hypoplasia, but the other two fingers had normal diameter as well as thickness.
The examiner confirmed most of the clinical history: fever, fatigue, headache, dizziness, general distresses and vomiting, followed by diarrhea and weight loss.
She also noted that the child had a large number of fissure and ulcer scars on the right foot.
Her first question to the child: Did you do anything by chewing something?
The child replied that he did not eat a whole lot, only vegetables, beans, milk and fruit, but he could not get any of these things for long.
A nurse and other physicians who treated the child were able to clarify that no one had been drinking at the house where the child was currently"
290,Separator,--------------------------------------------------------------------------------
291,Ground Truth,cancer genomic research reveals that similar cancer clinical phenotype can arise from various mutations in tumor dna thus organ of origin is not definitive classification further targeted therapy for cancer patients capitalizes on knowledge of individual patient mutational status to deliver treatment directed against the protein products of these mutations with the goal of reducing toxicity and enhancing efficacy relative to traditional nontargeted chemotherapy
291,Baseline Summary,subclassification study cancer patients based mutational status presents opportunities learn significance genomic alterations develop additional therapies however large number mutations known important cancer development presence multiple mutations individual patient combines create great diversity populations patients specific tumor type shrager tenenbaum note cancer effect large number rare diseases occupying high dimensional space opportunities action observation subtype efficiently search space nature one needs capture learnings many patients treatment experiments possible continuously updated knowledge base one stratification cancer patients mutational status resultant decrease proportion patients available study enrollment presents serious problems observational interventional research low prevalence many driver mutations solid tumors precludes recruitment sufficient numbers subjects traditionally sized research consortia led new models clinical research based interinstitution co
291,GPT-2 Summary,"+-


* It is worth noting that the fact that the ""study"" was only one cancer-specific study (not three, as with our original argument)- and not one ""instrumental"" to the existing study but rather one single cell- might not necessarily contribute to how accurate this argument is, as it could be the reason this analysis was done at all."
291,Separator,--------------------------------------------------------------------------------
292,Ground Truth,objectives this study aimed to compare number of new nano composites capable of protecting the jaw from ionizing radiation materials and methods four different types of nano powders ti zr oxide ag and co were mixed in polymer matrix to create nano composites with doping values of eight in weight small angle ray scattering analysis was performed using hecussaxs system with fifty kv fifty ma co nano composites yielded the most promising values of the four nanocomposites tested in terms of ray absorption thus forty two cm co pnm samples of different thicknesses were prepared and saxs analysis was performed in order to assess the effects of material thickness on xray absorption an experimental multi part shield was constructed from co pnm around tooth thirty six to test the effect of nanomaterial on the image quality under ray beam results logarithmic distributions of the transmitted intensity values showed that zero twenty cm co pnm had the highest transmission value followed by zero fifty cm co pnm zero fifty seven cm co pnm and zero sixty cm co pnm the zero two cm co pnm had an effective radius of the nano aggregation value lower than that of the other thicknesses of co pnm which had similar values ranging from sixty six twenty two to sixty six thirty four the zero fifty cm co pnm had the lowest dmax value of the different thicknesses of co pnm tested conclusion co nanocomposite can be used as protection shield for the harmful effects of dental ray
292,Baseline Summary,also causes damage deoxyribonucleic acid dna protein cross links induces cellular death direct relationship effects ionizing radiation type tissue receiving radiation absorbed radiation dose dental radiology represents frequently applied radiological diagnostic tool enormous diagnostic benefits make use indispensable however individual doses risks low collective dose inconsiderable patients commonly receive ionizing radiation head several studies shown dental radiography associated increased risk meningioma brain cancer parotid gland tumors well breast cancer fifty nine four different types ray examination techniques commonly used dentistry diagnostic purposes posterior bitewings periapical films lateral cephalometric radiographs panoramic radiographs addition cone beam computerized tomography recently accepted emerging ray technology dentomaxillofacial imaging imaging techniques implicated nuclear alterations stomatognathic system cells closely related genotoxicity fact imaging may su
292,GPT-2 Summary,"In this discussion we will look at how laser radiation can be applied directly to skeletal tissue to deliver high-energy ionizing radiation.
Also to further explore the application of laser radiation to the study of skeletal cancer, we must continue to look at other diseases which are associated with increased cellular damage.
The most comprehensive review of the research to date is in a new series of papers published in Radiation Toxicology and Health Effects, by Dr. David C. Zahn, MD, published by Columbia University Medical Center Press (Columbia University Press, 2009).
Since then numerous studies have been done to review the available literature on the effect of laser irradiation on osteoporosis including an investigation published in the New England Journal of Medicine in March 2007 titled ""The effect of high-energy laser laser radiation on osteoporosis in human models: a prospective study"".
Unfortunately, much of the recent scientific literature in that area has been severely challenged by several reviews published since by peer reviewers.
In addition to these critiques of review reports that do not follow the usual pattern of review, some critical comments have also been made here.
Although some of our current coverage falls into the type of ""rejecting the evidence"", we suggest that those who are critical should be more critical of current findings regarding the safety of laser irradiation and its application to osteoporosis.
Summary and Conclusion
Recent analyses by scientists with the US National Institutes of Health (NIH) indicate that the amount of radiation directed on bones by commercial lasers has become as ""effective"" as direct irradiation of cancer cells to produce the same results.
The NIH has confirmed that lasers can effectively irradiate bone bone and soft tissue without causing bone to degenerate"
292,Separator,--------------------------------------------------------------------------------
293,Ground Truth,introductionobinutuzumab is novel anti cd monoclonal antibody that has been shown to be effective for the treatment of non hodgkin lymphoma and is currently being evaluated in phase three clinical trials the side effect profile of the drug is not yet well established case reportthe authors report case of sixty two year old patient who developed widespread lichenoid eruption as result of ga treatment for his follicular non hodgkin lymphoma conclusionthis is the first case report of cutaneous side effects of ga
293,Baseline Summary,obinutuzumab new anti cd monoclonal antibody currently evaluated phase three clinical trials treatment non hodgkin lymphoma initial results promising drug likely wide use soon authors report case lichenoid eruption developed patient follicular non hodgkin lymphoma result treatment ga sixty two year old man presented dermatology department four month history widespread pruritic rash follicular non hodgkin lymphoma diagnosed three years ago initially treated eight cycles rituximab cyclophosphamide vincristine prednisolone good response year later relapsed requiring six cycles retuximab cyclophosphamide doxorubicin vincristine prednisolone gain control disease deteriorated two years later started phase two clinical trial ga combined fludarabine cyclophosphamide received five cycles monthly intervals third cycle started develop rash worsened next two cycles stabilizing treatment finished physical examination widespread violaceous lichenoid maculopapular eruption trunk back arms legs biopsi
293,GPT-2 Summary,"The initial phase one randomized, double blind, double sided (no blinding) trial comparing 1mg (3 mg oral, in combination, monoclonal) to 2.5mg (12 mg oral); 1 mg to 3 mg as the lowest dose; and 4mg as the highest combination drug, using three separate randomization groups: two with 1mg a day and two with 2.5mg a day.
An early stage trial also found no statistically significant difference in the average daily dose of mono (p=0.4) in the dose groups.
A meta-analysis found no significant difference observed when comparing monoclonal vs. lysergamides in the primary efficacy endpoint (dysfunction, aplastic anemia and lymphadenopathy).
After a third dose in combination with repertank inhibitors, no efficacy difference was found.
Both repertargin inhibitors (p-alanylcysteine and 2-mercaptopuricine) and 5-fluorouracil showed no significant adverse effects or serious toxic events in patients receiving oral doses of either monoclonal or lysergamides.
The study's authors speculated that the reason for the lack of efficacy observed with monoclonal is due not to the active antistagminoid activity, which likely had been absent in the primary trial.
Rationale
Many years ago, a team of US researchers concluded that monoclonal antibody is safe and effective for the treatment of follicular"
293,Separator,--------------------------------------------------------------------------------
294,Ground Truth,human populations have undergone dramatic changes in population size in the past one hundred zero years including recent rapid growth how these demographic events have affected the burden of deleterious mutations in individuals and the frequencies of disease mutations in populations remains unclear we use population genetic models to show that recent human demography has likely had little impact on the average burden of deleterious mutations this prediction is supported by two exome sequence datasets showing that individuals of west african and european ancestry carry very similar burdens of damaging mutations we further show that for many diseases rare alleles are unlikely to contribute large fraction of the heritable variation and therefore the impact of recent growth is likely to be modest however for those diseases that have direct impact on fitness strongly deleterious rare mutations likely do play an important role and recent growth will have increased their impact
294,Baseline Summary,section provides summary methods complete description may found supplementary information use standard bi allelic diploid model two way mutation viability selection drift cases migration specifically assume two possible alleles site normal deleterious allele mutates allele probability per gamete per generation reverse mutation occurs probability unless noted otherwise assume mutation symmetric absolute fitness three genotypes nn nd dd one one hs one respectively zero zero focus semi dominant fully recessive selection two cases exhibit full range qualitative behaviors selection acting primarily heterozygotes one two homozygotes zero allele frequencies next generation follow wright fisher sampling viabilities sometimes migration population size migration rates vary according demographic scenario considered assume fitness multiplicative across sites linkage equilibrium among sites assumptions evolutionary dynamics site independent sites practice linked selection likely negligible effects
294,GPT-2 Summary,"You need to run a genome scan before you can get a firm handle on what the genome will say about you.
First of all, you may want to check a few things to make sure you understand the implications.
What do you mean by 'interbreeding' and'migration'?
What is linkage disequilibrium?
What does it mean?
How much of the genome will be involved in determining fitness?
How do we test if you have two loci having similar fitness for the same function?
I really had high hopes for this article.
Although I'm also really, really glad I didn't make it the 1,000 words it was.
For all of those reasons, it's a lot longer than I'd like.
You can find previous versions on my website:
I just wanted to tell everyone a version of this which actually gets worse as you go along.
You're welcome.
I'd appreciate it if you read the first two paragraphs if you haven't already.
Interbreeding means you mix up your sex chromosomes and your father's genes.
Theoretically, you're mixing up the genes of each of your two parents.
These genes have to come from, in each case, their fathers, and from the same gene, that they share with themselves, so they're sort of a mixture of the genetic contribution of your father and their own genes.
In order to get enough of each gene at each place in the genome to contribute to each child, you're going to have to mix them all together.
Why must you do this?
Obviously, they're in competition.
That's not true, though I'll try to make that clear.
It's true that, in the absence of any competition, someone with"
294,Separator,--------------------------------------------------------------------------------
295,Ground Truth,we quantify the false negative diagnostic rate of septic arthritis using gram stain microscopy of synovial fluid and compare this to values reported in the peer reviewed literature we propose method of improving the diagnostic value of gram stain microscopy using lithium heparin containers that prevent synovial fluid coagulation retrospective study of the manchester royal infirmary microbiology database of patients undergoing synovial fluid gram stain and culture between december two thousand and three and march two thousand and twelve was undertaken the initial cohort of one thousand eight hundred and ninety six synovial fluid analyses for suspected septic arthritis was reduced to one hundred and forty three after exclusion criteria were applied analysis of our gram stain microscopy yielded one hundred and eleven false negative results from cohort size of one hundred and forty three positive synovial fluid cultures giving false negative rate of seventy eight we report false negative rate of gram stain microscopy for septic arthritis of seventy eight clinicians should therefore avoid the investigation until statistically significant data set confirms its efficacy the investigation value could be improved by using lithium heparin containers to collect homogenous synovial fluid samples ongoing research aims to establish how much this could reduce the false negative rate
295,Baseline Summary,find synovial fluid gram stain microscopy used present value diagnosis septic arthritis false negative diagnosis rate seventy eight show analysing microbiological data collected nine years manchester royal infirmary result consistent previous values reported literature show false negative rate two thousand five hundred fifty thirteen highlights need educate clinicians diagnosis septic arthritis based clinical grounds without reliance synovial fluid gram stain microscopy although synovial fluid culture considered gold standard practical application also limited twenty four hour time delay preliminary results available additional twenty four hours needed final results known ill suited diagnosis septic arthritis orthopaedic emergency significant morbidity mortality rate four five alternative diagnostic techniques remain underexplored proposed modification existing techniques use lithium heparin containers collect synovial fluid preventing coagulation fluid lithium heparin tubes produce ho
295,GPT-2 Summary,The above is just my view on it… maybe go off and read the literature if you are stuck so may be someone who can provide more advice/criticism.
295,Separator,--------------------------------------------------------------------------------
296,Ground Truth,school lunches serve to improve nutritional status and to promote the health of children the purpose of this study was to investigate the portion sizes of school lunches served and consumed in japanese elementary schools in addition gender difference in servings and consumption were also studied cross sectional study was undertaken between october two thousand and seven and february two thousand and eight in schools located in tokyo and okayama japan total of one hundred and ninety two fifth grade children attending four elementary schools participated in this study weighed plate waste methods and observation were used to collect dietary data for two non consecutive days the proportion of children who chose staple foods along with main dishes and or side dishes for at least one day was higher in boys than in girls the ratio of initial amount served to amount offered was zero eighty eight zero eleven for boys and zero eighty four zero ten for girls the ratio of amount consumed to amount offered was one four zero nineteen for boys and zero eighty eight zero twelve for girls weight was related to amount consumed both in boys and in girls these findings suggest that the nutritional standards of school lunch programs should take into account gender differences clearly boys were more likely to consume more than the initial amounts served due to their higher propensity to take second helpings boys feel few reservations about taking second helpings to adjust their total intake however school lunch plans should take into consideration girls reluctance to do so by serving appropriate initial portion sizes
296,Baseline Summary,japan first school lunch provided yamagata prefecture one thousand eight hundred eighty nine world war ii school lunch programs discontinued restarted one thousand nine hundred forty six war one aims school lunch programs improve nutritional status promote health japanese school lunches consisted staple foods main dishes side dishes milk one features japanese school lunch programs children serve food two thousand seven ninety nine two elementary schools school lunch programs zero five milk zero eight ministry education culture sports science technology establishes guidelines making school lunch menus nutritional standards energy protein total fat salt calcium iron magnesium zinc vitamin vitamin vitamin vitamin fiber given according four age groups without gender difference standards may modified depending actual health physical activity children different regions japan plate waste weighed evaluation menus monitor levels consumption time weighed unit class grade school center school lun
296,GPT-2 Summary,"1.
We give high quality high protein and low fat Chinese school lunches to children in Japan; 2.
Japanese school lunches are low in protein, high in fat and low in sodium.
We are recommending that all parents give their children a Chinese school lunch.
We have given three grades: the school lunch menu and nutritional specifications.
3.
If parents do not feel comfortable giving japanese school lunches on their children, then it is better to give them the other grade.
4.
This is a ""no surprises"" way we evaluate these different grades.
Reference:
1.
E., Yamagata, I. and Takahashi, H. K. Nutrition requirements of children and adolescents in Japan.
JAMA.
2008;297:1662-4
(24).
School Lunch Programs Overview (PDF)
1.
This blog is maintained by a staff member who is employed by the National Center for Education Statistics.
2.
This site takes no credit or compensation for the above materials that are copyright to them.
3.
This site is NOT a substitute for professional counseling or expert advice from a counselor or licensed health educator.
I provide this information as a first-hand guide to helping parents understand their own nutrition needs and to understand how the Japanese health insurance program, IHHS, might treat their obesity and/or health care needs.
4.
This study was funded by the National Center for Education Statistics (NCES) to provide nutrition education to Japanese American families.
5.
This was a self-study survey based on the above nutrition requirements of Japanese children to evaluate the children's health.
The goal was to measure the children's health needs as a result of each meal.
6.
The study was done in Japan by"
296,Separator,--------------------------------------------------------------------------------
297,Ground Truth,chikungunya virus caused significant outbreaks of illness during twenty million fifty two thousand and seven in the indian ocean region chikungunya outbreaks have also occurred in the pacific region including in papua new guinea in two thousand and twelve new caledonia in april two thousand and thirteen and yap state federated states of micronesia in august two thousand and thirteen chikv is threat in the pacific and the risk for further spread is high given several similarities between the pacific and indian ocean chikungunya outbreaks island health care systems have difficulties coping with high caseloads which highlights the need for early multidisciplinary preparedness the pacific public health surveillance network has developed several strategies focusing on surveillance case management vector control laboratory confirmation and communication the management of this chikv threat will likely have broad implications for global public health
297,Baseline Summary,since two thousand chikungunya outbreaks occurred several regions world broadly speaking locations outbreaks appear moving easterly direction outbreaks occurred democratic republic congo two thousand indonesia twenty million twelve thousand three two thousand four virus appeared kenya subsequently series outbreaks occurred indian ocean twenty million fifty two thousand seven affected locations included seychelles comoros islands madagascar reunion island mauritius republic maldives twenty million sixty two thousand seven outbreaks occurred south southeast asia india reported one four million cases sri lanka thirty seven six hundred sixty seven cases malaysia two hundred cases cases also reported singapore two thousand eight thailand twenty million eighty two thousand nine outbreaks indian ocean resulted high attack rates example sixty three population grande comore thirty five reunion island local chikungunya transmission reported pacific region february two thousand eleven autochthono
297,GPT-2 Summary,"1.
It is not clear whether this is a pandemic, and there are some major issues with the data and its significance to this discussion.
2.
This is one of the biggest outbreaks ever seen, with almost two thousand cases reported.
It occurred on the island of Madagasc, on the mainland, and seems to have had a significant impact on people living in the region.
This outbreak appears to have been transmitted from one person to several thousand people without being isolated or contained in the world.
In fact, the information from medical research organizations is that there may have been as many as 1000 cases of chikungunya on the island of Guadeloupe on that day.
The same research found only two deaths.
Given that the data is very poor, the impact will likely be minimal from this outbreak.
There is no current confirmation of this outbreak occurring at any of the affected locations or the specific date or year of its occurrence.
As a result the effects seen are not clear-cut as to whether they are caused by the ""first world problem"" or whether they are due to the ""third world"" problem.
Additionally a very high percentage of affected areas lack water, food, electricity and other basic necessities.
In both cases the impact will not be seen until the situation is stabilized.
The potential impact of this outbreak at this time is minimal with no direct deaths and perhaps few other serious effects.
This is especially interesting as we are seeing the effects of extreme poverty in India, but it is not clear whether it is this type of impact that is causing people to engage or react this way.
1.
Madagascian"
297,Separator,--------------------------------------------------------------------------------
298,Ground Truth,iron nanoparticles were employed to induce the synthesis of diamond on molybdenum silicon and quartz substrates diamond films were grown using conventional conditions for diamond synthesis by hot filament chemical vapor deposition except that dispersed iron oxide nanoparticles replaced the seeding ray diffraction visible and ultraviolet raman spectroscopy energy filtered transmission electron microscopy electron energy loss spectroscopy and ray photoelectron spectroscopy were employed to study the carbon bonding nature of the films and to analyze the carbon clustering around the seed nanoparticles leading to diamond synthesis the results indicate that iron oxide nanoparticles lose the atoms becoming thus active traps that induce the formation of dense region of trigonally and tetrahedrally bonded carbon around them with the ensuing precipitation of diamond type bonds that develop into microcrystalline diamond films under chemical vapor deposition conditions this approach to diamond induction can be combined with dip pen nanolithography for the selective deposition of diamond and diamond patterning while avoiding surface damage associated to diamond seeding methods
298,Baseline Summary,many challenges remain opening regarding integration diamond electronic devices particular seeding processes typically harsh substrate surface leading defect creation lack reproducibility iron based materials used catalysts synthesis crystalline diamond high temperature high pressure growth one three yet difficult fabricate diamond iron based materials chemical vapor deposition due rapid diffusion carbon bulk high carbon solubility number attempts grow diamond forming thin film iron silicon substrates five seven attained depositing thin layer iron silicon substrates thus suggesting high carbon concentration resulting saturated carbide layer initial stage nucleation required producing diamond nucleation sites described developments suggest fe nanoparticles employed diamond nucleation centers strong affinity atoms yet small act sinks feo nanoparticles ideal candidates task fe nanoparticle passivated removed cvd reactions leaving active fe nanoparticle exposed trapping accumulation microc
298,GPT-2 Summary,"All in all a little more information but there is a lot more to this material that just to try and put it into words.
So in the next days I will continue writing and posting with various new info on this material.
I will not post this material anymore, please feel free to contact me and let me know if you found this post useful!
All info found here will only be accurate for the few days with very limited information as to the content of the materials as to which are new.
So stay tuned and continue checking back."
298,Separator,--------------------------------------------------------------------------------
299,Ground Truth,abstractbackgroundmetastatic tumours to the oral cavity from distant organs are uncommon and represent approximately one three of all oral malignancies such metastases can occur to the bone or to the oral soft tissues almost any malignancy from any site is capable of metastasis to the oral cavity and wide variety of tumours have been reported to spread to the mouth methodscareful examination of the oral cavity and high degree of clinical suspicion as well as multidisciplinary approach are suggested resultsin this article we present three patients female and two males with metastatic tumours to the oral cavity who were referred to our department the primary tumours were invasive lobular breast carcinoma gastric adenocarcinoma and small cell lung carcinoma respectively conclusionsmetastases to the oral cavity are quite uncommon among population they usually present with symptoms similar to odontogenic infections and benign tumours causing delayed diagnosis and treatment
299,Baseline Summary,metastatic tumours oral cavity distant organs uncommon represent approximately one three oral malignancies metastases occur bone oral soft tissues one four mandible affected frequently maxilla predilection areas distal canines including body ramus however primary metastases soft tissues extraordinarily rare zero one oral malignancies common site oral soft tissue metastases gingiva accounts slightly fifty cases followed tongue site twenty five cases lips buccal palatal mucosa almost malignancy site capable metastasizing oral cavity wide variety tumours reported spread mouth furthermore organs gastrointestinal tract particularly stomach described instances article present three clinical cases female invasive lobular breast carcinoma two males gastric adenocarcinoma small cell lung carcinoma respectively metastasized oral cavity sixty eight year old female referred department oral maxillofacial surgery theageneio cancer hospital thessaloniki complaining pain right half mandible intraoral
299,GPT-2 Summary,"- One cancer on the side of the tongue is more common than all cancers combined.
The prevalence was not well understood.
- Many people don't know that oral cancer is more common than any other cancers.
- Cancer appears in men and women alike.
- There are several types of cancer of the tongue.
- The overall prevalence should match the risk of oral cancers.
- There is a difference when comparing oral cancer cases to breast cancer, other cancers, or cervical cancers and no significant differences for other cancers.
- The cancer of the tongue affects all species of mammals"
299,Separator,--------------------------------------------------------------------------------
300,Ground Truth,highlightsintraosseous meningiomas may be confused with fibrous dysplasia and or osteoid osteoma lesions appear either as osteoblastic or osteolytic lesions usually presents as painless palpable mass associated with headaches embryological remnants of neuroectodermal tissue or cellular dedifferentiation seem to justify the lack of dural connections complete surgical excision is usually curative
300,Baseline Summary,meningioma common type benign brain tumor whereas ectopic meningioma although reported rare head neck region common ectopic site whereas scalp skin orbit paranasal sinuses salivary glands intraosseous intradiploic regions also affected twenty five view rarity ectopic meningiomas skull main differential diagnoses fibrous dysplasia osteoid osteoma common benign primary tumors report herein case sixty two year old female patient pure ectopic intraosseous meningioma without dural invasion sixty two year old female patient presented history classical migraine last thirty years six month diagnosis headaches changed characteristics continuous unilateral pain increasing intensity patient reported nausea vomiting usually followed typical migraines also patient noted growing lump right parietal side referred service primary care physician neurological examination patient alert oriented complaining moderate headache hard slightly painful elliptical prominence without clearly defined margins detec
300,GPT-2 Summary,"Grundling et al reported two cases as both meningiomas and head Neck tumor.
More cases will be revealed to be more rare with further study."
300,Separator,--------------------------------------------------------------------------------
301,Ground Truth,backgroundcardiac metastases from papillary thyroid carcinoma are very uncommon their incidence is rising due to improvements in survival and diagnosis nevertheless our patient is the fourth case reported up to date there are no clinical trials available in this scenario therefore treatment choice is made based on clinical experience and case reports notably the largest case report series was prior to the approval for using tyrosine kinase inhibitors in thyroid cancer patienta seventy three year old lady had dedifferentiated papillary thyroid cancer with ongoing sorafenib after nine months on this treatment she presented with dyspnea and heart failure differential diagnosis included infection progression of disease and cardiotoxicity after comprehensive assessment we found progression of lung disease and the appearance of heart metastases resultsafter recovering from the basal status she started on second line treatment with sunitinib which was well tolerated she achieved stable disease with decrease in tumor marker levels conclusionswe should include cardiac metastases in the differential diagnosis of heart failure in cancer patients magnetic resonance imaging is the gold standard for assessment sorafenib is the mainstay of the first line therapy in metastatic thyroid cancer achieving long term disease control with good tolerance sunitinib could be safe second line treatment option with promising results therefore our report presents sequence of treatment with tyrosine kinase inhibitors in metastatic thyroid carcinoma with an encouraging outcome which deserves further investigation
